period,separation,normalized_separation,q_bits,primitive_q_period,primitive_tau_period,repeated_target,R_squared_estimate,gap_from_eta,gap_from_8,certificate_status,first_positive_moment
36,15,0.4166666666666667,100000000000000100000000000000000000,36,36,False,8.327678841287435,0.5234527761068204,0.32767884128743496,CERTIFIED_R_GT_ETA,
36,16,0.4444444444444444,100000000000000010000000000000000000,36,36,False,8.220832628608438,0.4166065634278233,0.2208326286084379,CERTIFIED_R_GT_ETA,
36,17,0.4722222222222222,100000000000000001000000000000000000,36,36,False,8.323907901724022,0.5196818365434073,0.32390790172402184,CERTIFIED_R_GT_ETA,
36,18,0.5,100000000000000000100000000000000000,18,36,False,8.221970136828915,0.4177440716483005,0.2219701368289151,CERTIFIED_R_GT_ETA,
38,1,0.02631578947368421,11000000000000000000000000000000000000,38,38,False,9.472578001033721,1.6683519358531065,1.472578001033721,CERTIFIED_R_GT_ETA,6
38,2,0.05263157894736842,10100000000000000000000000000000000000,38,38,False,8.351920547327682,0.5476944821470671,0.35192054732768163,CERTIFIED_R_GT_ETA,
38,3,0.07894736842105263,10010000000000000000000000000000000000,38,38,False,8.25285605923489,0.4486299940542757,0.2528560592348903,CERTIFIED_R_GT_ETA,
38,4,0.10526315789473684,10001000000000000000000000000000000000,38,38,False,8.051080802630244,0.24685473744962927,0.05108080263024384,CERTIFIED_R_GT_ETA,
38,5,0.13157894736842105,10000100000000000000000000000000000000,38,38,False,8.530571134379596,0.726345069198981,0.5305711343795956,CERTIFIED_R_GT_ETA,
38,6,0.15789473684210525,10000010000000000000000000000000000000,38,38,False,8.177578688389119,0.37335262320850404,0.1775786883891186,CERTIFIED_R_GT_ETA,
38,7,0.18421052631578946,10000001000000000000000000000000000000,38,38,False,8.373093604227549,0.5688675390469342,0.3730936042275488,CERTIFIED_R_GT_ETA,
38,8,0.21052631578947367,10000000100000000000000000000000000000,38,38,False,8.176997115945396,0.372771050764781,0.17699711594539558,CERTIFIED_R_GT_ETA,
38,9,0.23684210526315788,10000000010000000000000000000000000000,38,38,False,8.379371452780953,0.5751453876003385,0.3793714527809531,CERTIFIED_R_GT_ETA,
38,10,0.2631578947368421,10000000001000000000000000000000000000,38,38,False,8.203108864365715,0.3988827991851007,0.2031088643657153,CERTIFIED_R_GT_ETA,
38,11,0.2894736842105263,10000000000100000000000000000000000000,38,38,False,8.343838327376002,0.5396122621953872,0.34383832737600173,CERTIFIED_R_GT_ETA,
38,12,0.3157894736842105,10000000000010000000000000000000000000,38,38,False,8.211010886442688,0.4067848212620735,0.21101088644268806,CERTIFIED_R_GT_ETA,
38,13,0.34210526315789475,10000000000001000000000000000000000000,38,38,False,8.333028343029875,0.5288022778492607,0.3330283430298753,CERTIFIED_R_GT_ETA,
38,14,0.3684210526315789,10000000000000100000000000000000000000,38,38,False,8.218151554894947,0.4139254897143321,0.21815155489494664,CERTIFIED_R_GT_ETA,
38,15,0.39473684210526316,10000000000000010000000000000000000000,38,38,False,8.321081721339388,0.5168556561587732,0.3210817213393877,CERTIFIED_R_GT_ETA,
38,16,0.42105263157894735,10000000000000001000000000000000000000,38,38,False,8.221354859344515,0.4171287941639008,0.22135485934451538,CERTIFIED_R_GT_ETA,
38,17,0.4473684210526316,10000000000000000100000000000000000000,38,38,False,8.315910809682542,0.5116847445019275,0.31591080968254204,CERTIFIED_R_GT_ETA,
38,18,0.47368421052631576,10000000000000000010000000000000000000,38,38,False,8.223017432373897,0.4187913671932826,0.22301743237389715,CERTIFIED_R_GT_ETA,
38,19,0.5,10000000000000000001000000000000000000,19,19,False,8.313695100972549,0.509469035791934,0.3136951009725486,CERTIFIED_R_GT_ETA,
40,1,0.025,1100000000000000000000000000000000000000,40,40,False,9.47248527009254,1.6682592049119247,1.4724852700925393,CERTIFIED_R_GT_ETA,6
40,2,0.05,1010000000000000000000000000000000000000,40,40,False,8.350421098037073,0.546195032856458,0.35042109803707255,CERTIFIED_R_GT_ETA,
40,3,0.075,1001000000000000000000000000000000000000,40,40,False,8.250915671672137,0.4466896064915229,0.25091567167213746,CERTIFIED_R_GT_ETA,
40,4,0.1,1000100000000000000000000000000000000000,40,40,False,8.051614613081778,0.2473885479011635,0.05161461308177806,CERTIFIED_R_GT_ETA,
40,5,0.125,1000010000000000000000000000000000000000,40,40,False,8.52929024901707,0.7250641838364551,0.5292902490170697,CERTIFIED_R_GT_ETA,
40,6,0.15,1000001000000000000000000000000000000000,40,40,False,8.176518188488732,0.37229212330811734,0.1765181884887319,CERTIFIED_R_GT_ETA,
40,7,0.175,1000000100000000000000000000000000000000,40,40,False,8.370948882703338,0.5667228175227237,0.37094888270333826,CERTIFIED_R_GT_ETA,
40,8,0.2,1000000010000000000000000000000000000000,40,40,False,8.17672075526615,0.37249469008553504,0.1767207552661496,CERTIFIED_R_GT_ETA,
40,9,0.225,1000000001000000000000000000000000000000,40,40,False,8.37672761296787,0.5725015477872546,0.37672761296786916,CERTIFIED_R_GT_ETA,
40,10,0.25,1000000000100000000000000000000000000000,40,40,False,8.202655431267605,0.3984293660869902,0.20265543126760477,CERTIFIED_R_GT_ETA,
40,11,0.275,1000000000010000000000000000000000000000,40,40,False,8.340447851356704,0.536221786176089,0.3404478513567035,CERTIFIED_R_GT_ETA,
40,12,0.3,1000000000001000000000000000000000000000,40,40,False,8.210823403101312,0.4065973379206973,0.21082340310131187,CERTIFIED_R_GT_ETA,
40,13,0.325,1000000000000100000000000000000000000000,40,40,False,8.328789104281446,0.5245630391008316,0.32878910428144614,CERTIFIED_R_GT_ETA,
40,14,0.35,1000000000000010000000000000000000000000,40,40,False,8.218091320844655,0.41386525566404053,0.2180913208446551,CERTIFIED_R_GT_ETA,
40,15,0.375,1000000000000001000000000000000000000000,40,40,False,8.315850046240826,0.511623981060211,0.3158500462408256,CERTIFIED_R_GT_ETA,
40,16,0.4,1000000000000000100000000000000000000000,40,40,False,8.221570964905737,0.4173448997251228,0.22157096490573736,CERTIFIED_R_GT_ETA,
40,17,0.425,1000000000000000010000000000000000000000,40,40,False,8.309403058779687,0.505176993599072,0.30940305877968655,CERTIFIED_R_GT_ETA,
40,18,0.45,1000000000000000001000000000000000000000,40,40,False,8.223637692091309,0.4194116269106942,0.2236376920913088,CERTIFIED_R_GT_ETA,
40,19,0.475,1000000000000000000100000000000000000000,40,40,False,8.30579804498387,0.5015719798032556,0.3057980449838702,CERTIFIED_R_GT_ETA,
40,20,0.5,1000000000000000000010000000000000000000,20,40,False,8.224192979890661,0.4199669147100469,0.22419297989066145,CERTIFIED_R_GT_ETA,
42,1,0.023809523809523808,110000000000000000000000000000000000000000,42,42,False,9.47243024605626,1.6682041808756463,1.4724302460562608,CERTIFIED_R_GT_ETA,6
42,2,0.047619047619047616,101000000000000000000000000000000000000000,42,42,False,8.349252393096195,0.5450263279155809,0.3492523930961955,CERTIFIED_R_GT_ETA,
42,3,0.07142857142857142,100100000000000000000000000000000000000000,42,42,False,8.249333914713404,0.44510784953278915,0.24933391471340371,CERTIFIED_R_GT_ETA,
42,4,0.09523809523809523,100010000000000000000000000000000000000000,42,42,False,8.052014964159014,0.24778889897839917,0.052014964159013743,CERTIFIED_R_GT_ETA,
42,5,0.11904761904761904,100001000000000000000000000000000000000000,42,42,False,8.52835277276254,0.7241267075819255,0.5283527727625401,CERTIFIED_R_GT_ETA,
42,6,0.14285714285714285,100000100000000000000000000000000000000000,42,42,False,8.175609568269184,0.3713835030885697,0.17560956826918428,CERTIFIED_R_GT_ETA,
42,7,0.16666666666666666,100000010000000000000000000000000000000000,42,42,False,8.369284675235011,0.5650586100543968,0.3692846752350114,CERTIFIED_R_GT_ETA,
42,8,0.19047619047619047,100000001000000000000000000000000000000000,42,42,False,8.17645649420629,0.3722304290256755,0.17645649420629006,CERTIFIED_R_GT_ETA,
42,9,0.21428571428571427,100000000100000000000000000000000000000000,42,42,False,8.374677721113612,0.5704516559329971,0.37467772111361164,CERTIFIED_R_GT_ETA,
42,10,0.23809523809523808,100000000010000000000000000000000000000000,42,42,False,8.2022428365827,0.39801677140208547,0.20224283658270004,CERTIFIED_R_GT_ETA,
42,11,0.2619047619047619,100000000001000000000000000000000000000000,42,42,False,8.337771588077908,0.5335455228972936,0.3377715880779082,CERTIFIED_R_GT_ETA,
42,12,0.2857142857142857,100000000000100000000000000000000000000000,42,42,False,8.210616301302762,0.40639023612214764,0.2106163013027622,CERTIFIED_R_GT_ETA,
