n,residue_mod_16,alpha,separation_index,arc_vertices,complement_vertices,arc_bulk_cells,lambda_1,lambda_2,lambda_1_squared,lambda_2_squared,rho_squared,mean_interface_level_squared,level_splitting_squared,mean_gap_from_c6
84,4,1,3,18,66,3,2.81335944847016,2.8090359391744557,7.914991386296322,7.890682907573717,7.914991386296324,7.902837146935019,0.02430847872260511,-0.00253216468530848
84,4,-1,4,22,62,4,2.811788108825466,2.811460339758841,7.906152368932291,7.904309242036897,7.925646753026032,7.905230805484594,0.0018431268953937874,-0.00013850613573307413
84,4,1,4,22,62,4,2.811832346044206,2.81141211692549,7.906401142260464,7.904038091195465,7.925665064927037,7.9052196167279645,0.002363051064998345,-0.00014969489236271727
84,4,-1,5,26,58,5,2.812420060366867,2.81073190225056,7.909706595953971,7.900213826329052,7.909706595953971,7.904960211141512,0.009492769624919184,-0.0004091004788149277
84,4,1,5,26,58,5,2.8124442870146713,2.8106988074964607,7.909842867561463,7.900027786462027,7.909842867561463,7.904935327011745,0.009815081099436185,-0.00043398460858234955
84,4,-1,6,30,54,6,2.81173011358564,2.8115608837274944,7.9058262316443155,7.904874602906529,7.913018276151323,7.905350417275422,0.0009516287377868693,-1.8894344905540095e-05
84,4,1,6,30,54,6,2.8118574277171993,2.8114260285886745,7.906542193808384,7.904116314225886,7.91309265802453,7.905329254017135,0.0024258795824980695,-4.0057603191812063e-05
84,4,-1,7,34,50,7,2.811913639267873,2.811363789938173,7.906858314700694,7.9037663593755285,7.906858314700694,7.9053123370381115,0.003091955325165152,-5.697458221565199e-05
84,4,1,7,34,50,7,2.8119886082211667,2.81127991537307,7.907279932765614,7.903294762580016,7.907279932765614,7.9052873476728145,0.003985170185598186,-8.196394751269764e-05
84,4,-1,8,38,46,8,2.811769487575972,2.81152219109721,7.906047651263244,7.904657031032057,7.908089209901411,7.905352341147651,0.0013906202311870786,-1.697047267601448e-05
84,4,1,8,38,46,8,2.8118913514499586,2.81139172627125,7.906732972359075,7.903923438546438,7.908329594347388,7.905328205452756,0.002809533812636822,-4.110616757113661e-05
84,4,-1,9,42,42,9,2.8116473897581713,2.81164738975817,7.905361044333938,7.90536104433393,7.905361044333938,7.905361044333935,7.993605777301127e-15,-8.267286392360518e-06
84,4,1,9,42,42,9,2.811867248883803,2.8114186001111423,7.906597425345366,7.904074545050895,7.906597425345366,7.90533598519813,0.0025228802944710083,-3.332642219699977e-05
92,12,-1,0,6,86,0,2.8309965365710608,2.79275256333375,8.01454139007734,7.799466880007231,8.062095275482868,7.9070041350422855,0.21507451007010925,0.001634823421958309
92,12,1,0,6,86,0,2.830996487026785,2.7938456611243714,8.014541109557998,7.805573578183476,8.062095295002612,7.9100573438707364,0.20896753137452162,0.0046880322504092575
92,12,-1,1,10,82,1,2.8128560736293893,2.804275432924445,7.912159290953745,7.863960703703582,7.912159290953745,7.888059997328663,0.04819858725016246,-0.017309314291663824
92,12,1,1,10,82,1,2.8128569240178996,2.804268145355364,7.91216407499544,7.8639198310548135,7.912164074995442,7.888041953025127,0.04824424394062632,-0.017327358595200515
92,12,-1,2,14,78,2,2.8129634668902024,2.8100549498039133,7.912763466058947,7.896408820917474,7.959134303347569,7.90458614348821,0.016354645141473334,-0.0007831681321173178
92,12,1,2,14,78,2,2.812959065361809,2.8100628329396184,7.912738703401183,7.896453125068634,7.959135037628016,7.904595914234909,0.016285578332548845,-0.0007733973854184839
92,12,-1,3,18,74,3,2.8133546210885605,2.8090472866787928,7.914964224000358,7.890746658797488,7.914964224000358,7.902855441398923,0.02421756520287044,-0.0025138702214038133
92,12,1,3,18,74,3,2.8133570435568895,2.8090410673567763,7.914977854531162,7.890711718096897,7.914977854531164,7.902844786314029,0.024266136434264673,-0.0025245253062982087
